normalized_location,country,status
,Unknown,not_found_offline
"100 mile house, canada",Canada,direct_match
"6th of october city, egypt",Egypt,direct_match
"aachen, germany",Germany,direct_match
aalborg,Unknown,unknown_fallback_cache
"aalst, belgium",Belgium,direct_match
"aalter, belgi",Unknown,unknown_fallback_cache
"aarau, switzerland",Switzerland,direct_match
"aarhus, denmark",Denmark,direct_match
"aars, denmark",Denmark,direct_match
"aarschot, belgium",Belgium,direct_match
"abbotsford, australia",Australia,direct_match
"abbottabad, pakistan",Pakistan,direct_match
"aberdeen, scotland, united kingdom",United Kingdom,direct_match
"aberdeen, united kingdom",United Kingdom,direct_match
aberdeenshire,Unknown,unknown_fallback_cache
"abergavenny, united kingdom",United Kingdom,direct_match
"abergele, united kingdom",United Kingdom,direct_match
"abersoch, united kingdom",United Kingdom,direct_match
abertawe,Unknown,unknown_fallback_cache
"aberystwyth, united kingdom",United Kingdom,direct_match
"abingdon, united kingdom",United Kingdom,direct_match
"aboyne, united kingdom",United Kingdom,direct_match
"abu dhabi, united arab emirates",United Arab Emirates,direct_match
"abuja, nigeria",Nigeria,direct_match
"addis ababa, ethiopia",Ethiopia,direct_match
"addison, texas",Unknown,unknown_fallback_cache
adelaide,Unknown,unknown_fallback_cache
"adelaide hills, australia",Australia,direct_match
adelaide sth aust,Unknown,unknown_fallback_cache
"adelaide, australia",Australia,direct_match
"aeschiried, switzerland",Switzerland,direct_match
"agde, france",France,direct_match
"agios gordios, greece",Greece,direct_match
"agra, india",India,direct_match
"ahmadi, kuwait",Kuwait,direct_match
"ahmedabad, india",India,direct_match
"ahmednagar, india",India,direct_match
"airdrie, scotland, united kingdom",United Kingdom,direct_match
"airlie beach, australia",Australia,direct_match
"ait azzi, morocco",Morocco,direct_match
"aix-en-provence, france",France,direct_match
"ajax, canada",Canada,direct_match
"ajman, united arab emirates",United Arab Emirates,direct_match
"akaroa, new zealand",New Zealand,direct_match
"al ahsa, saudi arabia",Saudi Arabia,direct_match
al ain,Albania,direct_match
"al ain, united arab emirates",United Arab Emirates,direct_match
"al hamala, bahrain",Bahrain,direct_match
"al jubail, saudi arabia",Saudi Arabia,direct_match
"al kheesa, qatar",Qatar,direct_match
"al khobar, saudi arabia",Saudi Arabia,direct_match
"al madinah province, saudi arabia",Saudi Arabia,direct_match
"al wakrah, qatar",Qatar,direct_match
"al-rayyan, qatar",Qatar,direct_match
"albany, australia",Australia,direct_match
"albany, new york",Unknown,unknown_fallback_cache
"alberta, canada",Canada,direct_match
"albion park rail, australia",Australia,direct_match
"albion park, australia",Australia,direct_match
"albox, spain",Spain,direct_match
"albufeira, portugal",Portugal,direct_match
"albuquerque, new mexico",Mexico,direct_match
"albury, australia",Australia,direct_match
"alcester, united kingdom",United Kingdom,direct_match
"alderley edge, united kingdom",United Kingdom,direct_match
"alderney, united kingdom",United Kingdom,direct_match
"aldershot, united kingdom",United Kingdom,direct_match
aldonaviciuliene gmail.com,Comoros,direct_match
"alesund, norway",Norway,direct_match
"alexandria, egypt",Egypt,direct_match
"alexandria, united states",United States,direct_match
"alexandria, virginia",Unknown,unknown_fallback_cache
"alfold, united kingdom",United Kingdom,direct_match
algeria,Algeria,direct_match
"alicante, spain",Spain,direct_match
"alice springs, australia",Australia,direct_match
"allahabad, india",India,direct_match
"almaty, kazakhstan",Kazakhstan,direct_match
"almere, the netherlands",Netherlands,direct_match
"almeria, spain",Spain,direct_match
"alnwick, united kingdom",United Kingdom,direct_match
alsager,Unknown,unknown_fallback_cache
"altea, spain",Spain,direct_match
"alton, united kingdom",United Kingdom,direct_match
"altrincham, united kingdom",United Kingdom,direct_match
"amaroo, australia",Australia,direct_match
"ambikapur, india",India,direct_match
"amble, united kingdom",United Kingdom,direct_match
"americus, georgia",Georgia,direct_match
"amersfoort, the netherlands",Netherlands,direct_match
"amersham, united kingdom",United Kingdom,direct_match
"amman, jordan",Jordan,direct_match
"ammanford, united kingdom",United Kingdom,direct_match
"amritsar, india",India,direct_match
"amstelveen, the netherlands",Netherlands,direct_match
amsterdam,Unknown,unknown_fallback_cache
"amsterdam, noord-holland, netherlands",Netherlands,direct_match
"amsterdam, pays-bas",Unknown,unknown_fallback_cache
"amsterdam, the netherlands",Netherlands,direct_match
"amwaj islands, bahrain",Bahrain,direct_match
"anaconda, montana",Unknown,unknown_fallback_cache
"ancaster, canada",Canada,direct_match
"anchorage, alaska",Unknown,unknown_fallback_cache
"andover, united kingdom",United Kingdom,direct_match
"andreyevka, russia",Unknown,unknown_fallback_cache
"anglesey, united kingdom",United Kingdom,direct_match
"ankara, turkiye",Unknown,unknown_fallback_cache
"anna bay, australia",Australia,direct_match
"annan, united kingdom",United Kingdom,direct_match
"ansbach, germany",Germany,direct_match
"ansiao, portugal",Portugal,direct_match
"antibes, france",France,direct_match
"antwerp, belgium",Belgium,direct_match
antwerpen,Unknown,unknown_fallback_cache
"arad, romania",Romania,direct_match
"arambol, india",India,direct_match
"arcata, california",Unknown,unknown_fallback_cache
"ardooie, belgium",Belgium,direct_match
"arendal, norway",Norway,direct_match
"arequipa, peru",Peru,direct_match
"argenton-sur-creuse, france",France,direct_match
"argyll and bute, united kingdom",United Kingdom,direct_match
"arkansas, usa",United States,direct_match
"arlington, texas",Unknown,unknown_fallback_cache
"arlington, virginia",Unknown,unknown_fallback_cache
"armenia, belize",Armenia,direct_match
"arnhem, the netherlands",Netherlands,direct_match
"arona, italy",Italy,direct_match
"arta, spain",Spain,direct_match
"arth, switzerland",Switzerland,direct_match
"arundel, australia",Australia,direct_match
"arundel, united kingdom",United Kingdom,direct_match
"arusha region, tanzania","Tanzania, United Republic of",direct_match
"aschaffenburg, germany",Germany,direct_match
"ascot, united kingdom",United Kingdom,direct_match
"ashbourne, united kingdom",United Kingdom,direct_match
"ashburton, australia",Australia,direct_match
"ashburton, new zealand",New Zealand,direct_match
"ashfield, australia",Australia,direct_match
"ashford, england, united kingdom",United Kingdom,direct_match
"ashford, middlesex, uk",United Kingdom,direct_match
"ashford, united kingdom",United Kingdom,direct_match
ashland,Unknown,unknown_fallback_cache
"ashtead, united kingdom",United Kingdom,direct_match
asia,Unknown,unknown_fallback_cache
"askwith, united kingdom",United Kingdom,direct_match
"assagao, india",India,direct_match
"asse, belgium",Belgium,direct_match
"assen, the netherlands",Netherlands,direct_match
"assendelft, the netherlands",Netherlands,direct_match
"astana, kazakhstan",Kazakhstan,direct_match
"astoria, new york",Unknown,unknown_fallback_cache
"athens, greece",Greece,direct_match
"atlacomulco, mexico",Mexico,direct_match
"atlanta, georgia",Georgia,direct_match
"auburn, maine",Unknown,unknown_fallback_cache
